"abstract","web_url","lead_paragraph","source","pub_date","_id","document_type","headlines"
"The European Union’s executive arm recommended beginning membership talks with Ukraine on condition of some further changes in Kyiv.","https://www.nytimes.com/2023/11/08/world/europe/ukraine-eu-membership.html","The European Union’s executive arm recommended on Wednesday that the bloc open membership talks with Ukraine, an encouraging step for the government in Kyiv in what remains a long and arduous joining process.","The New York Times","2023-11-08T13:32:55+0000","nyt://article/0690cfd8-53be-5386-a54f-3cab5ed64e4a","article","Ukraine Gets an Encouraging Sign in Its Bid to Join the E.U."
"Google has long been a hub for employee activism, including over the company’s business with Israel. But workers looking to express support for Palestinians say they face hostility.","https://www.nytimes.com/2023/11/08/business/israel-palestine-google-employees.html","When Sarmad Gilani joined Google as a software engineer in 2012, he was drawn by the company’s famously open culture, where employees can publicly criticize leadership and are encouraged to embrace their racial identity and sexual orientation while at work.","The New York Times","2023-11-08T13:48:46+0000","nyt://article/fbc5a494-2073-50b1-9835-bbbf828a60d5","article","Google’s Open Culture Collides With the Israel-Hamas War"
"A majority of the Democratic caucus signed a letter asking President Biden to ensure that Israel has a viable plan for defeating Hamas and will use U.S. military assistance in keeping with international law.","https://www.nytimes.com/2023/11/08/us/politics/senate-democrats-biden-israel.html","A majority of the Senate Democratic caucus called on President Biden on Wednesday to defend his request for $14.3 billion in emergency military assistance for Israel, seeking assurances that the Jewish state has a viable plan for defeating Hamas and that the United States will not be funding actions that run afoul of international and U.S. laws.","The New York Times","2023-11-08T15:44:58+0000","nyt://article/ff0195b4-aac9-5575-99af-c2e8cdbe54c2","article","Senate Democrats Challenge Biden on Israel, Seeking Assurances About Aid"
"The United Nations estimates that 15,000 people used the only route out of the northern part of the enclave on Tuesday, three times the number that passed the day before.","https://www.nytimes.com/2023/11/08/world/middleeast/israel-gaza-evacuation-corridor-south.html","Pocked with airstrike craters and lined by Israeli tanks and the shells of what used to be buildings, Salah al-Din Road is the only way to leave the northern part of Gaza for the south, where Israel has told civilians to go “for their own safety.”","The New York Times","2023-11-08T18:17:14+0000","nyt://article/8de43d45-e694-5f69-b1aa-bc6934b75843","article","As Israel Pushes Deeper Into Northern Gaza, Thousands Trek South"
"Indirect talks mediated by Qatar snagged after Israel’s ground invasion of Gaza on Oct. 27. They have resumed, but hopes for a quick release have faded.","https://www.nytimes.com/2023/11/08/world/middleeast/israel-hamas-hostages.html","Days before Israel launched its ground invasion of Gaza, it was closing in on a deal for Hamas to release up to 50 hostages in exchange for pausing the bombardment unleashed in response to the militants’ Oct. 7 attacks in Israel, according to Arab and Western officials with knowledge of the talks.","The New York Times","2023-11-08T18:52:53+0000","nyt://article/e8e4f78a-46ef-5e5e-8c8e-80871f45cdea","article","Israel and Hamas Nearly Struck a Deal to Free Up to 50 Hostages"
"Secretary of State Antony J. Blinken quickly pushed back, but what exactly comes next is far from clear.","https://www.nytimes.com/2023/11/08/world/middleeast/israel-gaza-security-hamas.html","By saying that Israel will maintain security control over Gaza  “for an indefinite period,” Prime Minister Benjamin Netanyahu set off alarm bells in Washington and questions at home.","The New York Times","2023-11-08T19:22:53+0000","nyt://article/f645a620-ef7e-5960-b06e-a81fb121fd3e","article","Israel Raises Alarms by Suggesting ‘Indefinite’ Role in Gaza"
"Plus, a cook’s tour of the Tokyo food scene.","https://www.nytimes.com/2023/11/08/briefing/israel-gaza-pandas.html","Antony Blinken, the U.S. secretary of state, said yesterday that Gaza should be unified with the West Bank under the Palestinian Authority once the war ends, the strongest signal yet from the Biden administration about what it would like to see at the end of Israel’s fight against Hamas. But what Israel will do in Gaza is largely unclear.","The New York Times","2023-11-08T21:09:30+0000","nyt://article/90db6b2d-a99f-50df-ae21-6cf6f1f778cd","article","Thursday Briefing: What’s Next in the Israel-Hamas War"
"The criticism has put the popular video app on its heels at a precarious time.","https://www.nytimes.com/2023/11/08/business/tiktok-accusations-anti-israel-content.html","TikTok is back in the cross hairs of Washington, with Republican lawmakers again calling to ban the popular short-form video app amid accusations that it is amplifying pro-Palestinian and anti-Israel videos through its powerful algorithmic feed.","The New York Times","2023-11-08T21:22:29+0000","nyt://article/412e8428-e05b-5c5c-a71a-d3e3179d0ebf","article","Lawmakers Renew Calls to Ban TikTok After Accusations of Anti-Israel Content"
"The episode, which killed one and injured four others, comes amid a recent uptick in military activity and attacks in the Black Sea, a hot spot in the war between Russia and Ukraine.","https://www.nytimes.com/2023/11/08/world/europe/ukraine-russia-black-sea-ship.html","Ukraine said on Wednesday that a Russian missile had struck a civilian ship while it was moored in a port in the Black Sea region of Odesa, killing a port pilot on board and injuring three crew members and a port worker.","The New York Times","2023-11-08T21:46:25+0000","nyt://article/95f0cce8-b31a-5e89-a07a-23a4b2751aa3","article","Ukraine Accuses Russia of Deadly Strike on Civilian Ship at Black Sea Port"
"The United Nations estimated that 15,000 civilians walked out of northern Gaza on Tuesday, three times as many as the day before, while Israeli troops battled Hamas in Gaza City.","https://www.nytimes.com/2023/11/08/world/middleeast/israel-hamas-gaza-evacuation.html","Tens of thousands of desperate civilians, some waving white flags, have fled the northern Gaza Strip this week, marching along a road pocked with airstrike craters and lined with ruined buildings, as Israeli officials reported that their troops had pushed into the heart of the densely populated Hamas stronghold of Gaza City.","The New York Times","2023-11-08T22:00:19+0000","nyt://article/223f1cc5-f324-59cb-90af-21777a2cb186","article","Tens of Thousands Flee Northern Gaza Strip, as Israel’s Invasion Advances"
"The five candidates at the third debate rejected calls for Israel to rein in its retaliation in Gaza after Hamas’s Oct. 7 attack.","https://www.nytimes.com/2023/11/08/us/politics/israel-republican-candidates-debate.html","The five Republican presidential candidates on Wednesday’s debate stage gave staunch support to Israel’s invasion of Gaza, rejecting pleas to rein in the conflict and calling on Prime Minister Benjamin Netanyahu to destroy Hamas, the Islamic militant group that killed 1,400 civilians and Israeli soldiers in a surprise attack last month.","The New York Times","2023-11-09T02:17:52+0000","nyt://article/adf3c619-ade7-5065-b9ac-d868260af89f","article","The Republican candidates rushed to line up behind Israel."
"A force led by President Vladimir Putin’s former bodyguard is trying to recruit veterans of the paramilitary force, which mutinied against Russian military leaders and saw its leader killed in a plane crash.","https://www.nytimes.com/2023/11/09/world/europe/russia-wagner-fighters.html","Russia’s armed forces are stepping up their efforts to recruit veterans of the Wagner paramilitary group, according to former fighters and military bloggers, as the Kremlin tries to avoid another round of mobilization and salvage some of the force’s fighting potential in the wake of its leader’s mutiny and death.","The New York Times","2023-11-09T05:01:18+0000","nyt://article/fa09d0df-af84-5be1-9632-ab53c9d090bd","article","Russia Steps Up Efforts to Lure Wagner Veterans Back Into Ukraine War"
"After traveling across Israel and the West Bank, I now understand why so much has changed.","https://www.nytimes.com/2023/11/09/opinion/israel-hamas-war.html","People warned me before I came to Tel Aviv a few days ago that the Israel of Oct. 7 is an Israel that I’ve never been to before. They were right. It is a place in which Israelis have never lived before, a nation that Israeli generals have never had to protect before, an ally that America has never had to defend before — certainly not with the urgency and resolve that would lead a U.S. president to fly over and buck up the whole nation.","The New York Times","2023-11-09T05:01:19+0000","nyt://article/44e6e825-5cb5-50bc-b353-6118b035e763","article","I Have Never Been to This Israel Before"
"To U.S. allies in Asia, the sudden focus on Gaza risks progress on America’s long-delayed pivot to the Indo-Pacific region.","https://www.nytimes.com/2023/11/09/world/asia/gaza-israel-asia.html","America’s long-promised pivot to Asia was finally gathering momentum — new security deals with the Philippines and India, expanded military exercises, and plans with allies to stay ahead of Chinese technology.","The New York Times","2023-11-09T05:01:19+0000","nyt://article/9cc9ab64-18c7-5573-bfe7-c35839e4f036","article","Ukraine. Israel. Can America Support Two Wars and Still Handle China?"
"At least one Holocaust survivor was killed during the Oct. 7 attack. Others pressed against safe room doors to keep assailants out. One saw a video of her grandson’s abduction.","https://www.nytimes.com/2023/11/09/world/middleeast/israel-holocaust-survivors-hamas.html","Moshe Ridler’s life ended much the way it began, at the hands of people who wanted to kill him.","The New York Times","2023-11-09T10:01:41+0000","nyt://article/afde477c-2a78-5759-8bbb-1124d2d75755","article","Holocaust Survivors in Israel Faced Fresh Horror When Hamas Attacked"
"Israel’s response to the Hamas attacks has fueled sympathy around the world for the Palestinian cause even as Israel continues to bury its dead.","https://www.nytimes.com/2023/11/09/us/politics/israel-hamas-gaza-deaths.html","The Israeli military has limited time to carry out its operations in Gaza before anger among Arabs in the region and frustration in the United States and other countries over the spiraling civilian death toll constrain Israel’s goal of eradicating Hamas, U.S. officials said this week.","The New York Times","2023-11-09T20:17:54+0000","nyt://article/6c29620b-39ee-58f2-a6e4-365757b700d5","article","Israeli Forces Have Limited Time in Gaza, U.S. Officials Say"
"After a screening at the Museum of Tolerance aimed to show the brutality of the Oct. 7 attack on Israeli civilians, fights broke out among protesters outside.","https://www.nytimes.com/2023/11/09/arts/screening-footage-israel-hollywood.html","Having produced movies like “Pulp Fiction” and “Reservoir Dogs,” Lawrence Bender has a high tolerance for make-believe violence on film. But he wasn’t sure he could sit through raw footage of the real thing: the killings of Israeli civilians by Hamas.","The New York Times","2023-11-09T20:55:41+0000","nyt://article/1a4e2bcd-e2f0-500e-80d0-e8e913340d66","article","At a Hollywood Screening, Footage of Hamas Killing Israelis"
"Plus, Hollywood is coming back to life.","https://www.nytimes.com/2023/11/09/briefing/israel-gaza-carbon-capture.html","Israel has agreed to put in place regular daily four-hour pauses in its relentless assault on Hamas in selected areas of northern Gaza to allow civilians to flee, a White House spokesman said. ","The New York Times","2023-11-09T21:02:35+0000","nyt://article/64415e52-70b3-5ced-a882-d94ad7ed4b7f","article","Friday Briefing: Israel Expands Pauses in Combat"
"Also, Senator Joe Manchin says he will not seek re-election. Here’s the latest at the end of Thursday.","https://www.nytimes.com/2023/11/09/briefing/israel-combat-pause-gaza-joe-manchin-senate.html","Israel has agreed to put in place regular daily four-hour pauses in its relentless assault on Hamas in northern Gaza to allow civilians to flee, according to the White House.","The New York Times","2023-11-09T22:38:03+0000","nyt://article/2199d722-954e-5c0b-85f9-4112e98cf8e0","article","Israel Will Pause Combat for Hours Each Day, the U.S. Said"
"The New York Times said there was “no evidence” to support such claims about its freelancer.","https://www.nytimes.com/2023/11/09/world/middleeast/israel-gaza-hamas-photographers.html","The Israeli government on Thursday accused freelance photographers for several major news organizations, including The New York Times, of being “accomplices” in the killing and abductions of Israeli soldiers and civilians by Hamas fighters — an allegation The Times vigorously denied about its freelancer.","The New York Times","2023-11-09T23:12:54+0000","nyt://article/4ced5324-3259-55a4-aef8-aa111e5f0109","article","Israel Accuses Freelance Photographers of Advance Knowledge of Oct. 7 Attack"
"Israelis were shattered on Oct. 7. Can they recover?","https://www.nytimes.com/2023/11/10/opinion/israel-national-crisis.html","I landed in Israel and went straight to a funeral.","The New York Times","2023-11-10T06:00:21+0000","nyt://article/b0b0f947-53f6-5974-9e06-5651fd1b759e","article","In Israel, There Is Grief and There Is Fury. Beneath the Fury, Fear."
"The writer Yossi Klein Halevi talks about why many Israelis see the ongoing conflict as an “existential war.”","https://www.nytimes.com/2023/11/10/opinion/ezra-klein-podcast-yossi-klein-halevi.html","Earlier this week, we heard a Palestinian perspective on the conflict. Today, I wanted to have on an Israeli perspective.","The New York Times","2023-11-10T10:02:25+0000","nyt://article/cf949c0a-c817-5864-9fd9-57d4f45da632","article","What Israelis Fear the World Does Not Understand"
"The country’s authorities have banned many protests in the name of fighting antisemitism. Critics say such restrictions are discriminatory.","https://www.nytimes.com/2023/11/10/world/europe/germany-pro-palestinian-protests.html","Since fleeing Syria a decade ago, Wafa Mustafa has spoken out for political prisoners at the United Nations, held vigils outside war crimes trials and chanted in solidarity with Iranians protesting their authoritarian government.","The New York Times","2023-11-10T10:03:02+0000","nyt://article/82c146f9-8b24-5752-b492-97646026c5b3","article","Germany’s Stifling of Pro-Palestinian Voices Pits Historical Guilt Against Free Speech"
"The country has slowed down to protect its troops and consult allies. But as outrage over the war grows, it’s running out of time to defeat Hamas.","https://www.nytimes.com/2023/11/10/briefing/israel-gaza-hamas-strategy.html","The invasion seemed imminent. In the hours after Hamas attacked Israel on Oct. 7, Benjamin Netanyahu appeared ready to send his troops storming into Gaza. Instead, he chose a different strategy.","The New York Times","2023-11-10T11:37:53+0000","nyt://article/9974cc76-8338-5d12-a48b-07f5d9a499ca","article","Israel’s Ticking Clock"
"As drivers protested what they say is unfair competition from their Ukrainian counterparts, the waiting time at one checkpoint was estimated to be seven days.","https://www.nytimes.com/2023/11/10/world/europe/poland-ukraine-truckers-border.html","Thousands of trucks were lined up at several border crossings between Ukraine and Poland on Friday, preventing goods from being delivered to Europe and causing traffic jams lasting several days as Polish truckers blocked checkpoints over what they said was unfair competition from their Ukrainian counterparts.","The New York Times","2023-11-10T13:04:12+0000","nyt://article/89b9d9b3-20af-5bcc-b516-5b45158f3bce","article","Thousands Wait at Ukraine Border After Polish Truckers Blockade It"
"The trip will be his second to a war zone since opening his presidential bid.","https://www.nytimes.com/2023/11/10/us/politics/chris-christie-israel.html","Chris Christie, the former governor of New Jersey who is running for president, will go to Israel on Sunday, pressing what he sees as his foreign policy advantage in the race and challenging the other Republicans seeking the White House nomination to join him.","The New York Times","2023-11-10T15:11:14+0000","nyt://article/92f796b0-b989-5c1c-ae35-5d46d9486723","article","Chris Christie to Travel to Israel"
"The Biden administration, which has pressed Israel to do more to safeguard civilian lives, said Israel had agreed to steps to help people flee the northern Gaza Strip and receive aid.","https://www.nytimes.com/2023/11/10/world/middleeast/gaza-city-street-battles.html","Israeli soldiers and armored vehicles have engaged Hamas fighters in days of running gun battles in Gaza City, fighting through rubble-filled streets and blasted-out buildings for control of the Gaza Strip’s largest urban center and the militants’ main stronghold.","The New York Times","2023-11-10T22:11:03+0000","nyt://article/e9d421b8-35bf-5c7c-88f8-d36dc2cc3a19","article","Street Battles Rage in Gaza City Ruins, as Residents Flee on Foot"
"Against a backdrop of mounting international outrage over civilian casualties as Israel wages war on Hamas, President Emmanuel Macron of France on Friday called on Israel to stop the killing in Gaza.","https://www.nytimes.com/2023/11/11/world/middleeast/macron-cease-fire-gaza-israel.html","Against a backdrop of mounting international outrage over civilian casualties as Israel wages war on Hamas, President Emmanuel Macron of France on Friday called on Israel to stop the killing in Gaza.","The New York Times","2023-11-11T01:37:15+0000","nyt://article/c17f9140-cb85-50c2-8d63-621e476245f4","article","‘These babies, these ladies, these old people’: Macron mourns civilian deaths and urges an Israeli cease-fire."
"Representing neighboring districts in the Bronx, Alexandria Ocasio-Cortez and Ritchie Torres have staked sharply divergent positions on the Israel-Hamas war.","https://www.nytimes.com/2023/11/11/nyregion/aoc-torres-israel-gaza.html","They are among the brightest political stars rising from New York. They were born just months apart, 40 years after the founding of Israel.","The New York Times","2023-11-11T08:00:52+0000","nyt://article/1803d114-81df-5c8e-a836-714f296d6d2d","article","Two Young Democratic Stars Collide Over Israel and Their Party’s Future"
"To many New Yorkers, the war feels extremely close to home.","https://www.nytimes.com/2023/11/11/opinion/israel-hamas-war-new-york-city.html","I started drawing New York over 30 years ago when I first arrived in the city as a visitor from London. Since then, I have witnessed the city as its architecture and population changed. I saw the city coping with loss and recorded scenes at ground zero in the months after the Sept. 11 attacks. And now I have seen the new trauma of a city divided.","The New York Times","2023-11-11T12:00:47+0000","nyt://article/e9c1899d-06aa-5c2a-b42a-cb32acab6dd2","article","Drawings of a City Divided: New York Reacts to the Israel-Hamas War"
"The attack was part of an overnight barrage that suggested Moscow was testing air defenses before another potential winter campaign against Ukraine’s energy infrastructure.","https://www.nytimes.com/2023/11/11/world/europe/ukraine-russia-missile-kyiv.html","Ukraine’s military said on Saturday that it had shot down a Russian ballistic missile hurtling toward Kyiv, the first such attack on the capital in weeks, while cities across the country were targeted by a Russian air barrage that damaged several buildings.","The New York Times","2023-11-11T12:31:04+0000","nyt://article/4e264c1d-0381-510c-a09f-ab587062bb02","article","Russia Launches Missile at Kyiv for First Time in Weeks, Ukraine Says"
"As clashes continue along Israel’s volatile border with Lebanon, Hassan Nasrallah said his group was now trying to hit targets deeper inside Israel with newer and more advanced weapons.","https://www.nytimes.com/2023/11/11/world/middleeast/hezbollah-hasan-nasrallah-israel.html","The head of Lebanon’s powerful Hezbollah militia, Hassan Nasrallah, said on Saturday that his group intended to keep up pressure on Israel and claimed that it was striking deeper into Israeli territory with powerful new weapons.","The New York Times","2023-11-11T20:16:40+0000","nyt://article/47de6aed-83cb-5f88-be0f-8a3754cea526","article","Hezbollah’s Leader Says Fighters Will Keep Up Pressure on Israel"
"Facing power outages and shortages of food, water and medical supplies, hospitals are struggling just to keep patients alive, Gazan health authorities say.","https://www.nytimes.com/2023/11/11/world/middleeast/gaza-hospitals-al-shifa-israel.html","Operations at Gaza’s main hospital were showing signs of collapse on Saturday, with its director and the Gazan Health Ministry describing power outages, shortages of water and medicine and a crisis in treating seriously wounded patients and vulnerable children, while battles between Israeli troops and Hamas fighters raged ever closer.","The New York Times","2023-11-11T22:00:19+0000","nyt://article/da32571e-6433-535d-8dc0-c5f793a6f3dd","article","Gaza Hospitals Near Collapse as Fighting Rages Nearby"
"The commander of Ukraine’s Navy said in a rare interview that the Russian naval blockade of Odesa had been broken. He also described how the war is transforming naval tactics.","https://www.nytimes.com/2023/11/12/world/europe/ukraine-navy-admiral-black-sea.html","In a small, hidden office in the port city of Odesa, the commander of the Ukrainian Navy keeps two trophies representing successes in the Black Sea.","The New York Times","2023-11-12T10:01:18+0000","nyt://article/0b29a2da-2a95-5d4e-9b4a-3b1490658ff8","article","How Ukraine, With No Warships, Is Thwarting Russia’s Navy"
"The Netanyahu government falls short on most benchmarks of whether its actions in Gaza meet the standard.","https://www.nytimes.com/2023/11/12/opinion/israel-gaza-war-crimes.html","Israel’s response to the horrifying Hamas attack on Oct. 7 has caused widespread protest among its critics and soul-searching among some of its supporters. The deaths of thousands of Palestinian civilians in a ferocious bombing campaign and an increasingly intense ground war in the Gaza Strip cry out for a careful examination of the moral basis for Israel’s actions.","The New York Times","2023-11-12T14:00:12+0000","nyt://article/1f93887e-bef9-5488-b6cc-621e07350ef4","article","Measuring Israel by the Just-War Yardstick"
"Israel’s ability to give an accurate count of how many died in Hamas’s Oct. 7 attack has been complicated by corpses that were mutilated and identifying foreign workers killed in the attacks.","https://www.nytimes.com/2023/11/12/world/middleeast/israel-death-toll-hamas-attack.html","Israel revised its official estimated death toll of the Oct. 7 Hamas attacks, lowering the number to about 1,200 people, down from the more than 1,400 initially cited, a spokesman for the country’s Foreign Ministry said on Friday night.","The New York Times","2023-11-12T17:12:36+0000","nyt://article/0946eef3-3350-5b28-9af6-498fea9f9c5b","article","What We Know About the Death Toll in Israel From the Hamas-Led Attacks"
"The former New Jersey governor and chief G.O.P. antagonist to the former president cited Mr. Trump’s rhetoric of intolerance and faulted him for a lack of ambition on the Israeli-Palestinian conflict.","https://www.nytimes.com/2023/11/12/us/politics/chris-christie-israel-hamas.html","Chris Christie, the former governor of New Jersey who is challenging Donald J. Trump for the Republican presidential nomination, said Mr. Trump’s rhetoric of intolerance — as evident today as it was during his presidency — had fueled the surge of bigotry confronting Jews and Muslims after Hamas’s brutal Oct. 7 attack on Israel and the fierce Israeli response in Gaza.","The New York Times","2023-11-12T21:30:25+0000","nyt://article/d0ac21a2-153a-5bca-81c2-e18631cf4d26","article","In Israel, Christie Says Trump Ducked Mideast Progress and Fueled Bigotry"
"Differing from the U.S. view, the Israeli prime minister also said Israel must retain security control over Gaza so it can be “demilitarized” and “de-radicalized.”","https://www.nytimes.com/2023/11/12/world/middleeast/netanyahu-gaza-hamas-palestinian-authority.html","Even as Israeli tanks and ground troops continued to battle Hamas militants in Gaza, Prime Minister Benjamin Netanyahu on Sunday outlined a postwar vision for the territory, one that he said would not involve the Palestinian Authority in its current form.","The New York Times","2023-11-12T22:00:16+0000","nyt://article/9ad28ee2-f1a5-53ec-aac1-8174ff92e703","article","Netanyahu Sees No Near-Term Role for Palestinian Authority in a Postwar Gaza"
"Israeli officials say that Hamas has built a complex under Al Shifa, a major Gaza hospital. Hamas denies it is operating from beneath the hospital, whose patients face dire conditions amid power cuts.","https://www.nytimes.com/2023/11/12/world/middleeast/gaza-hospitals-shifa.html","With Israel consolidating its hold on northern Gaza, its forces are closing in on a sprawling medical center that for Israelis and Palestinians alike has emerged as a symbol of the other side’s inhumanity.","The New York Times","2023-11-12T22:28:54+0000","nyt://article/3f9bf2b7-d0d5-56d1-bfdb-8de907d5eb41","article","Israeli Forces Near a Struggling Hospital They Say Covers a Hamas Complex"
"More than 125,000 Israeli evacuees have been resettled from their communities along the dangerous borders with Lebanon and Gaza in the largest internal displacement in the country’s history.","https://www.nytimes.com/2023/11/13/world/middleeast/israel-evacuees-border-attacks.html","A joyful clamor echoed in the ballroom of the Golden Crown Hotel. Kindergarten was in full swing for 30 children from Arab al-Aramshe, a village next to Israel’s border with Lebanon. Only this class was meeting 44 miles south, in Nazareth, where nearly 800 of the village’s residents have been living since mid-October, when they were evacuated because of the risk of attacks by the militant group Hezbollah.","The New York Times","2023-11-13T10:17:18+0000","nyt://article/b0a5f48e-ae90-5320-ba08-d760f6137269","article","At Tourist Hotels, Israeli Evacuees Plan for Long Stays to Escape Border Attacks"
"In the latest strike, Kyiv said three Russian officers were killed in a bombing in the southern city of Melitopol.","https://www.nytimes.com/2023/11/13/world/europe/ukraine-russia-sabotage-melitopol.html","Ukrainian partisans killed three Russian officers in a bomb attack over the weekend, military authorities said, in a sign that Kyiv is stepping up its harassment of Moscow’s forces in the absence of decisive territorial progress on the battlefield.","The New York Times","2023-11-13T12:14:34+0000","nyt://article/af446b6d-c674-56b9-8328-29464106d5e2","article","Attacks Intensify on Russian Forces in Occupied Regions of Ukraine"
"A wave of current and former staff members, mostly of a younger generation, are agitating for a cease-fire and speaking out against their bosses’ positions.","https://www.nytimes.com/2023/11/13/us/politics/democratic-aides-congress-israel-hamas.html","The carnations arrived by the wheelbarrow. Blood-red, pink, orange and yellow, more than 10,000 stems were laid on the steps at the base of the Capitol against a clear blue sky.","The New York Times","2023-11-13T19:18:46+0000","nyt://article/2167c15a-678e-57aa-adbc-ae8f131c8d5b","article","Democratic Aides in Congress Break With Their Bosses on Israel-Hamas War"
"Two Israeli citizens taken nearly a decade ago are believed to still be alive. Families are also fighting for the return of the remains of two soldiers killed in 2014.","https://www.nytimes.com/2023/11/13/world/middleeast/hamas-israel-hostages.html","The plight of families desperately seeking the return of their loved ones abducted from Israel on Oct. 7 is painfully familiar to Aviram Shaul.","The New York Times","2023-11-13T19:46:28+0000","nyt://article/f38b6c86-3376-560f-b46e-69792e49e6ef","article","Hamas has held some Israeli hostages since long before Oct. 7."
"Also, the Supreme Court adopts an ethics code. Here’s the latest at the end of Monday.","https://www.nytimes.com/2023/11/13/briefing/israel-hamas-hospitals-supreme-court-ethics.html","Israeli forces advanced today to the gates of Gaza’s largest hospital, where doctors describe a dire situation: Fuel, medicine and food are running out for hundreds of patients and thousands of others sheltering. ","The New York Times","2023-11-13T22:30:30+0000","nyt://article/f41629c4-b417-54f6-9751-1984f1baa37b","article","Israeli Forces Reached Gaza’s Main Hospital"
"Elizabeth Tsurkov, who is believed to be held by a pro-Iranian Shiite militia, was shown in an unauthenticated video speaking about the Israeli hostages held in Gaza.","https://www.nytimes.com/2023/11/13/world/middleeast/iraq-elizabeth-tsurkov-video.html","An Iraqi television station posted a video Monday purporting to show a kidnapped Israeli-Russian researcher for the first time since her disappearance seven months ago, when she was seized off the streets in Baghdad.","The New York Times","2023-11-14T01:28:25+0000","nyt://article/9202c62f-4bac-5649-a50b-7503039267f2","article","New Video Suggests Israeli-Russian Academic Kidnapped in Iraq Is Alive"
"Hundreds of thousands who fled after Russia invaded make brief visits back, often to reconnect with family but also for health care that can be cheaper and more familiar.","https://www.nytimes.com/2023/11/14/world/europe/ukraine-refugees-return-doctor.html","She lives in a French town near St.-Tropez that she calls “paradise,” where she and her young son have taken refuge from the war back home in Ukraine. But when Liudmyla Gurenchuk and her son needed to see doctors this fall, they made the 1,300-mile trek back to Kyiv, leaving the picturesque tranquillity of the off-season Riviera for a city that is regularly struck with drones and missiles.","The New York Times","2023-11-14T05:01:23+0000","nyt://article/3e5bcf2f-4f99-5117-9ca4-e2ec8c04cb35","article","For Ukrainian Refugees, Seeing the Doctor Can Be Worth a Risky Trip Home"
"It is time for a Biden peace plan.","https://www.nytimes.com/2023/11/14/opinion/israel-war-biden.html","During my nine days of reporting recently in Israel and the West Bank, little did I know that the most revealing moment would come in the final hours of my visit. As I was packing to leave on Saturday night, Prime Minister Benjamin Netanyahu gave a news conference in which he indicated that Israel and the United States do not have a shared vision of how Israel should complete its war in Gaza or how to convert any Israeli victory over Hamas into a lasting peace with the Palestinians.","The New York Times","2023-11-14T06:00:11+0000","nyt://article/1cdf7f7e-0539-58f1-b0af-02d433a4de08","article","The Most Revealing Moment From My Trip to Israel"
"The signers, representing some 40 government agencies, reflect growing internal dissent over the administration’s support of Israel’s military campaign in Gaza.","https://www.nytimes.com/2023/11/14/us/politics/israel-biden-letter-gaza-cease-fire.html","More than 500 political appointees and staff members representing some 40 government agencies sent a letter to President Biden on Tuesday protesting his support of Israel in its war in Gaza.","The New York Times","2023-11-14T09:00:10+0000","nyt://article/9cd9689f-4f84-52a8-844f-1da790c8ad21","article","More Than 500 U.S. Officials Sign Letter Protesting Biden’s Israel Policy"
"After the Oct. 7 terror attack, Israel banned Gazan farm workers, and many other foreign laborers returned to their home countries.","https://www.nytimes.com/2023/11/14/world/middleeast/israel-farms-palestinians-thailand.html","Israeli farms, core to the country’s national identity, for years employed Palestinian and Thai workers. But since the Hamas-led terror attack on Oct. 7 and the war in Gaza, most Palestinians have been banned from Israel and many fearful Thais have returned home, leaving growers to scramble for labor.","The New York Times","2023-11-14T10:03:16+0000","nyt://article/79c5659d-dfdd-5496-875e-e0d5d7409100","article","Hard Hit by Loss of Thai and Palestinian Workers, Israeli Farmers Call for Volunteers"
"The rally was a response to large protests across the United States and the world denouncing the Israeli military campaign in Gaza.","https://www.nytimes.com/2023/11/14/us/march-for-israel-washington-dc-rally.html","Demonstrators from across the United States gathered on Tuesday on the National Mall in Washington in a vast show of solidarity with Israel as it wages war in the Gaza Strip in response to the Oct. 7 attack by Hamas.","The New York Times","2023-11-14T10:03:49+0000","nyt://article/bb61d2d5-0e16-5d93-90b2-5ec6a69ea136","article","Jewish Groups Rally for Israel on National Mall"
"The lawyer of Sergei G. Khadzhikurbanov, who was sentenced to 20 years in prison for helping to organize the killing of Anna Politkovskaya, said he had been pardoned by President Vladimir V. Putin.","https://www.nytimes.com/2023/11/14/world/europe/russia-pardon-anna-politkovskaya-ukraine.html","President Vladimir V. Putin has pardoned one of the convicted organizers of the murder of the journalist Anna Politkovskaya in return for his service in Ukraine, his lawyer said on Tuesday, the latest in a series of such reprieves for high-profile criminals in Russia.","The New York Times","2023-11-14T15:13:04+0000","nyt://article/514562e5-42e4-56a2-b60b-15b76a77be63","article","Man Convicted in Russian Journalist’s Murder Is Pardoned After Serving in Ukraine"
"Israel released two videos from inside Gaza’s main children’s hospital that showed weapons and explosives. Gazan health officials denied the hospital was used for military purposes.","https://www.nytimes.com/2023/11/14/world/middleeast/israel-hamas-rantisi-hospital-video.html","Israel is pressing its case that Hamas is using hospitals as cover, releasing a pair of videos from inside Gaza’s main children’s hospital that showed weapons and explosives purportedly found in the medical center, and a room where the military said hostages were kept.","The New York Times","2023-11-14T16:14:08+0000","nyt://article/e51d18ab-1519-5d49-a0b9-39828bf939b7","article","Israel Shows Videos of Gaza Hospital Basement It Says Was Used by Hamas"
